disbursement_code,loan_code,amount,currency_code,disbursement_date,status,status_code,ledger_entry_id,ledger_entry_code
ke/world-bank-infrastructure-2024-1,ke/world-bank-infrastructure-2024,125000000.00,USD,2024-01-15,completed,completed,ledger-001,ke/world-bank-infrastructure-2024-1
ke/world-bank-infrastructure-2024-2,ke/world-bank-infrastructure-2024,125000000.00,USD,2024-06-15,completed,completed,ledger-002,ke/world-bank-infrastructure-2024-2
ke/world-bank-infrastructure-2024-3,ke/world-bank-infrastructure-2024,125000000.00,USD,2024-12-15,completed,completed,ledger-003,ke/world-bank-infrastructure-2024-3
ke/world-bank-infrastructure-2024-4,ke/world-bank-infrastructure-2024,125000000.00,USD,2025-06-15,scheduled,scheduled,,ke/world-bank-infrastructure-2024-4
ke/imf-health-2024-1,ke/imf-health-2024,125000000.00,USD,2024-03-01,completed,completed,ledger-004,ke/imf-health-2024-1
ke/imf-health-2024-2,ke/imf-health-2024,125000000.00,USD,2024-09-01,completed,completed,ledger-005,ke/imf-health-2024-2
ke/african-development-roads-2024-1,ke/african-development-roads-2024,75000000.00,USD,2024-02-20,completed,completed,ledger-006,ke/african-development-roads-2024-1
ke/african-development-roads-2024-2,ke/african-development-roads-2024,75000000.00,USD,2024-08-20,completed,completed,ledger-007,ke/african-development-roads-2024-2
ke/china-exim-mombasa-port-2023-1,ke/china-exim-mombasa-port-2023,200000000.00,USD,2023-11-10,completed,completed,ledger-008,ke/china-exim-mombasa-port-2023-1
ke/china-exim-mombasa-port-2023-2,ke/china-exim-mombasa-port-2023,200000000.00,USD,2024-05-10,completed,completed,ledger-009,ke/china-exim-mombasa-port-2023-2
ke/china-exim-mombasa-port-2023-3,ke/china-exim-mombasa-port-2023,200000000.00,USD,2024-11-10,completed,completed,ledger-010,ke/china-exim-mombasa-port-2023-3
ke/china-exim-mombasa-port-2023-4,ke/china-exim-mombasa-port-2023,200000000.00,USD,2025-05-10,scheduled,scheduled,,ke/china-exim-mombasa-port-2023-4
ke/kcb-county-health-2024-1,ke/kcb-county-health-2024,25000000.00,KES,2024-04-01,completed,completed,ledger-011,ke/kcb-county-health-2024-1
ke/kcb-county-health-2024-2,ke/kcb-county-health-2024,25000000.00,KES,2024-10-01,completed,completed,ledger-012,ke/kcb-county-health-2024-2
ke/equity-infrastructure-2024-1,ke/equity-infrastructure-2024,37500000.00,KES,2024-05-15,completed,completed,ledger-013,ke/equity-infrastructure-2024-1
ke/equity-infrastructure-2024-2,ke/equity-infrastructure-2024,37500000.00,KES,2024-11-15,scheduled,scheduled,,ke/equity-infrastructure-2024-2
ke/jica-education-2023-1,ke/jica-education-2023,100000000.00,USD,2023-09-01,completed,completed,ledger-014,ke/jica-education-2023-1
ke/jica-education-2023-2,ke/jica-education-2023,100000000.00,USD,2024-03-01,completed,completed,ledger-015,ke/jica-education-2023-2
ke/jica-education-2023-3,ke/jica-education-2023,100000000.00,USD,2024-09-01,completed,completed,ledger-016,ke/jica-education-2023-3
ke/safaricom-digital-2024-1,ke/safaricom-digital-2024,25000000.00,KES,2024-06-01,completed,completed,ledger-017,ke/safaricom-digital-2024-1
ke/world-bank-water-2022-1,ke/world-bank-water-2022,50000000.00,USD,2022-07-15,completed,completed,ledger-018,ke/world-bank-water-2022-1
ke/world-bank-water-2022-2,ke/world-bank-water-2022,50000000.00,USD,2023-01-15,completed,completed,ledger-019,ke/world-bank-water-2022-2
ke/afdb-renewable-energy-2021-1,ke/afdb-renewable-energy-2021,100000000.00,USD,2021-05-20,completed,completed,ledger-020,ke/afdb-renewable-energy-2021-1
ke/afdb-renewable-energy-2021-2,ke/afdb-renewable-energy-2021,100000000.00,USD,2021-11-20,completed,completed,ledger-021,ke/afdb-renewable-energy-2021-2
