repayment_code,loan_code,amount,currency_code,principal_paid,interest_paid,payment_date,status,status_code,ledger_entry_id,ledger_entry_code
ke/world-bank-water-2022-1,ke/world-bank-water-2022,10000000.00,USD,8000000.00,2000000.00,2023-07-15,completed,completed,ledger-022,ke/world-bank-water-2022-1
ke/world-bank-water-2022-2,ke/world-bank-water-2022,10000000.00,USD,8160000.00,1840000.00,2024-01-15,completed,completed,ledger-023,ke/world-bank-water-2022-2
ke/world-bank-water-2022-3,ke/world-bank-water-2022,10000000.00,USD,8323200.00,1676800.00,2024-07-15,completed,completed,ledger-024,ke/world-bank-water-2022-3
ke/world-bank-water-2022-4,ke/world-bank-water-2022,10000000.00,USD,8489664.00,1510336.00,2025-01-15,scheduled,scheduled,,ke/world-bank-water-2022-4
ke/afdb-renewable-energy-2021-1,ke/afdb-renewable-energy-2021,20000000.00,USD,16000000.00,4000000.00,2022-05-20,completed,completed,ledger-025,ke/afdb-renewable-energy-2021-1
ke/afdb-renewable-energy-2021-2,ke/afdb-renewable-energy-2021,20000000.00,USD,16320000.00,3680000.00,2022-11-20,completed,completed,ledger-026,ke/afdb-renewable-energy-2021-2
ke/afdb-renewable-energy-2021-3,ke/afdb-renewable-energy-2021,20000000.00,USD,16646400.00,3353600.00,2023-05-20,completed,completed,ledger-027,ke/afdb-renewable-energy-2021-3
ke/afdb-renewable-energy-2021-4,ke/afdb-renewable-energy-2021,20000000.00,USD,16979328.00,3020672.00,2023-11-20,completed,completed,ledger-028,ke/afdb-renewable-energy-2021-4
ke/afdb-renewable-energy-2021-5,ke/afdb-renewable-energy-2021,20000000.00,USD,17318915.20,2681084.80,2024-05-20,completed,completed,ledger-029,ke/afdb-renewable-energy-2021-5
ke/afdb-renewable-energy-2021-6,ke/afdb-renewable-energy-2021,20000000.00,USD,17665293.50,2334706.50,2024-11-20,scheduled,scheduled,,ke/afdb-renewable-energy-2021-6
ke/china-exim-mombasa-port-2023-1,ke/china-exim-mombasa-port-2023,50000000.00,USD,36250000.00,13750000.00,2024-11-10,completed,completed,ledger-030,ke/china-exim-mombasa-port-2023-1
ke/china-exim-mombasa-port-2023-2,ke/china-exim-mombasa-port-2023,50000000.00,USD,36328125.00,13671875.00,2025-05-10,scheduled,scheduled,,ke/china-exim-mombasa-port-2023-2
ke/jica-education-2023-1,ke/jica-education-2023,15000000.00,USD,12225000.00,2775000.00,2024-09-01,completed,completed,ledger-031,ke/jica-education-2023-1
ke/jica-education-2023-2,ke/jica-education-2023,15000000.00,USD,12249525.00,2750475.00,2025-03-01,scheduled,scheduled,,ke/jica-education-2023-2
ke/world-bank-infrastructure-2024-1,ke/world-bank-infrastructure-2024,25000000.00,USD,21250000.00,3750000.00,2025-01-15,scheduled,scheduled,,ke/world-bank-infrastructure-2024-1
ke/imf-health-2024-1,ke/imf-health-2024,20000000.00,USD,17440000.00,2560000.00,2025-03-01,scheduled,scheduled,,ke/imf-health-2024-1
ke/african-development-roads-2024-1,ke/african-development-roads-2024,15000000.00,USD,12150000.00,2850000.00,2025-02-20,scheduled,scheduled,,ke/african-development-roads-2024-1
ke/kcb-county-health-2024-1,ke/kcb-county-health-2024,10000000.00,KES,8800000.00,1200000.00,2025-04-01,scheduled,scheduled,,ke/kcb-county-health-2024-1
ke/equity-infrastructure-2024-1,ke/equity-infrastructure-2024,15000000.00,KES,13125000.00,1875000.00,2025-05-15,scheduled,scheduled,,ke/equity-infrastructure-2024-1
ke/safaricom-digital-2024-1,ke/safaricom-digital-2024,12500000.00,KES,11000000.00,1500000.00,2025-06-01,scheduled,scheduled,,ke/safaricom-digital-2024-1
