seat_code,candidate_code,election_code,votes,result_position,is_winner,declared_at
ke/nairobi/governor,ke/nairobi/westlands/2022-general-election/johnson-arthur-sakaja-super-senator,ke/2022-general-election,690748,1,true,2022-08-16
ke/nairobi/governor,ke/nairobi/westlands/2022-general-election/polycarp-igathe,ke/2022-general-election,581251,2,false,2022-08-16
ke/nairobi/governor,ke/nairobi/westlands/2022-general-election/margaret-wanjiru,ke/2022-general-election,34887,3,false,2022-08-16
ke/nairobi/governor,ke/nairobi/westlands/2022-general-election/philip-kisia,ke/2022-general-election,28954,4,false,2022-08-16
ke/nairobi/governor,ke/nairobi/westlands/2022-general-election/william-samoei-ruto-riggy-g,ke/2022-general-election,7180333,1,true,2022-08-15
ke/nairobi/governor,ke/nairobi/westlands/2022-general-election/raila-odinga,ke/2022-general-election,6942140,2,false,2022-08-15
ke/nairobi/governor,ke/nairobi/westlands/2022-general-election/george-wajackoyah,ke/2022-general-election,61098,3,false,2022-08-15
ke/nairobi/governor,ke/nairobi/westlands/2022-general-election/david-waihiga,ke/2022-general-election,31198,4,false,2022-08-15
ke/national-assembly/speaker,ke/nairobi/westlands/2022-general-election/moses-wetangula,ke/2022-general-election,215,1,true,2022-09-08
ke/national-assembly/speaker,ke/nairobi/westlands/2022-general-election/moses-kuria,ke/2022-general-election,130,2,false,2022-09-08
ke/senate/speaker,ke/nairobi/westlands/2022-general-election/amason-kingi,ke/2022-general-election,31,1,true,2022-09-08
ke/senate/speaker,ke/nairobi/westlands/2022-general-election/gladys-wanga,ke/2022-general-election,31,1,true,2022-09-08
ke/nairobi/senator,ke/nairobi/westlands/2022-general-election/gladys-wanga,ke/2022-general-election,827815,1,true,2022-08-16
ke/nairobi/senator,ke/nairobi/westlands/2022-general-election/edwin-sifuna,ke/2022-general-election,493705,2,false,2022-08-16
ke/nairobi/women-rep,ke/nairobi/westlands/2022-general-election/esther-passaris,ke/2022-general-election,527849,1,true,2022-08-16
ke/nairobi/women-rep,ke/nairobi/westlands/2022-general-election/rachel-shebesh,ke/2022-general-election,351216,2,false,2022-08-16
ke/nairobi/women-rep,ke/nairobi/westlands/2022-general-election/millicent-omanga,ke/2022-general-election,308975,3,false,2022-08-16
ke/nairobi/westlands/mp,ke/nairobi/westlands/2022-general-election/timothy-wanyonyi,ke/2022-general-election,45874,1,true,2022-08-16
ke/nairobi/westlands/mp,ke/nairobi/westlands/2022-general-election/anthony-nyandoro,ke/2022-general-election,32156,2,false,2022-08-16
ke/nairobi/westlands/mp,ke/nairobi/westlands/2022-general-election/joseph-muchiri,ke/2022-general-election,28943,3,false,2022-08-16
ke/nairobi/westlands/mp,ke/nairobi/westlands/2022-general-election/mary-wanjiru,ke/2022-general-election,15432,4,false,2022-08-16
ke/nairobi/westlands/mp,ke/nairobi/westlands/2022-general-election/moses-kuria,ke/2022-general-election,12789,5,false,2022-08-16
