seat_code,title,description,office_code,geo_unit_code,constitution_code,total_positions,is_active,valid_from,valid_to
ke/nairobi/westlands/mp,Member of Parliament for Westlands,Represents Westlands constituency in the National Assembly,ke/national-assembly/national-assembly-member-parliament,ke/nairobi/westlands,ke/2010-constitution,1,true,2010-08-27,
ke/nairobi/dagoretti-north/mp,Member of Parliament for Dagoretti North,Represents Dagoretti North constituency in the National Assembly,ke/national-assembly/national-assembly-member-parliament,ke/nairobi/dagoreti-north,ke/2010-constitution,1,true,2010-08-27,
ke/nairobi/dagoretti-south/mp,Member of Parliament for Dagoretti South,Represents Dagoretti South constituency in the National Assembly,ke/national-assembly/national-assembly-member-parliament,ke/nairobi/dagoretti-south,ke/2010-constitution,1,true,2010-08-27,
ke/nairobi/langata/mp,Member of Parliament for Langata,Represents Langata constituency in the National Assembly,ke/national-assembly/national-assembly-member-parliament,ke/nairobi/langata,ke/2010-constitution,1,true,2010-08-27,
ke/nairobi/kamukunji/mp,Member of Parliament for Kamukunji,Represents Kamukunji constituency in the National Assembly,ke/national-assembly/national-assembly-member-parliament,ke/nairobi/kamukunji,ke/2010-constitution,1,true,2010-08-27,
ke/nairobi/starehe/mp,Member of Parliament for Starehe,Represents Starehe constituency in the National Assembly,ke/national-assembly/national-assembly-member-parliament,ke/nairobi/starehe,ke/2010-constitution,1,true,2010-08-27,
ke/nairobi/makadara/mp,Member of Parliament for Makadara,Represents Makadara constituency in the National Assembly,ke/national-assembly/national-assembly-member-parliament,ke/nairobi/makadara,ke/2010-constitution,1,true,2010-08-27,
ke/nairobi/governor,Governor of Nairobi County,Chief Executive Officer of Nairobi County Government,ke/county-government/governor,ke/nairobi,ke/2010-constitution,1,true,2013-03-04,
ke/nairobi/deputy-governor,Deputy Governor of Nairobi County,Deputy Chief Executive Officer of Nairobi County Government,ke/county-government/deputy-governor,ke/nairobi,ke/2010-constitution,1,true,2013-03-04,
ke/nairobi/senator,Senator for Nairobi County,Represents Nairobi County in the Senate,ke/senate/senate-member,ke/nairobi,ke/2010-constitution,1,true,2013-03-04,
ke/nairobi/women-rep,Women Representative for Nairobi County,Represents women's interests in the National Assembly,ke/national-assembly/national-assembly-women-representative,ke/nairobi,ke/2010-constitution,1,true,2013-03-04,
ke/nairobi/ward-representatives,County Ward Representatives,Represent wards within Nairobi County Assembly,ke/county-assembly/county-assembly-member,ke/nairobi,ke/2010-constitution,85,true,2013-03-04,
ke/president,President of Kenya,Head of State and Government of the Republic of Kenya,ke/executive-office-president/president,ke,ke/2010-constitution,1,true,2010-08-27,
ke/deputy-president,Deputy President of Kenya,Principal assistant to the President,ke/executive-office-president/deputy-president,ke,ke/2010-constitution,1,true,2010-08-27,
ke/national-assembly/speaker,Speaker of the National Assembly,Presiding officer of the National Assembly,ke/national-assembly/national-assembly-speaker,ke,ke/2010-constitution,1,true,2013-03-04,
ke/senate/speaker,Speaker of the Senate,Presiding officer of the Senate,ke/senate/senate-speaker,ke,ke/2010-constitution,1,true,2013-03-04,
ke/judiciary/chief-justice,Chief Justice of Kenya,Head of the Judiciary and President of the Supreme Court,ke/judiciary/chief-justice,ke,ke/2010-constitution,1,true,2010-08-27,
ke/attorney-general/attorney-general,Attorney General of Kenya,Principal legal adviser to the Government,ke/attorney-general/attorney-general,ke,ke/2010-constitution,1,true,2010-08-27
