event_code,title,description,event_type_code,planned_date,start_date,end_date,is_recurring,affects_public,impact_level,source_url,is_verified,status,geo_unit_code,geo_scope,tags,notes,date_calculation_code
"ke/2024-independence-day","Kenya Independence Day","Celebration of Kenya's independence from British colonial rule","holiday","2024-12-12T00:00:00","2024-12-12T00:00:00","2024-12-12T23:59:59",true,true,3,"https://www.kenya.go.ke",true,"completed","ke","national","independence,celebration,national-holiday","Annual celebration with nationwide festivities","every-december-12"
"ke/2024-jamhuri-day","Jamhuri Day","Commemoration of Kenya becoming a republic in 1964","holiday","2024-12-01T00:00:00","2024-12-01T00:00:00","2024-12-01T23:59:59",true,true,3,"https://www.kenya.go.ke",true,"completed","ke","national","jamhuri,republic,national-holiday","Republic day celebrations across all counties","every-december-1"
"ke/2024-madaraka-day","Madaraka Day","Celebration of Kenya attaining self-governance in 1963","holiday","2024-06-01T00:00:00","2024-06-01T00:00:00","2024-06-01T23:59:59",true,true,3,"https://www.kenya.go.ke",true,"completed","ke","national","madaraka,self-governance,national-holiday","Self-governance celebrations with national speeches","every-june-1"
"ke/2024-mashujaa-day","Mashujaa Day","Honoring Kenyan heroes and heroines who contributed to liberation","holiday","2024-10-20T00:00:00","2024-10-20T00:00:00","2024-10-20T23:59:59",true,true,3,"https://www.kenya.go.ke",true,"completed","ke","national","mashujaa,heroes,liberation,national-holiday","Heroes day celebrations and awards ceremony","every-october-20"
"ke/2024-labour-day","Labour Day","International Workers Day celebration","holiday","2024-05-01T00:00:00","2024-05-01T00:00:00","2024-05-01T23:59:59",true,true,2,"https://www.kenya.go.ke",true,"completed","ke","national","labour,workers,international,workers-day","Workers day celebrations and labor rights advocacy","every-may-1"
"ke/2024-easter-monday","Easter Monday","Christian religious holiday commemorating resurrection of Jesus","holiday","2024-04-01T00:00:00","2024-04-01T00:00:00","2024-04-01T23:59:59",true,true,2,"https://www.kenya.go.ke",true,"completed","ke","national","easter,christian,religious,holiday","Christian religious observance with church services","easter-monday"
"ke/2024-good-friday","Good Friday","Christian religious holiday commemorating crucifixion of Jesus","holiday","2024-03-29T00:00:00","2024-03-29T00:00:00","2024-03-29T23:59:59",true,true,2,"https://www.kenya.go.ke",true,"completed","ke","national","good-friday,christian,religious,holiday","Christian religious day of reflection and prayer","good-friday"
"ke/2024-nyerere-day","Nyerere Day","Commemoration of Mwalimu Julius Nyerere's contributions","holiday","2024-10-14T00:00:00","2024-10-14T00:00:00","2024-10-14T23:59:59",true,true,2,"https://www.kenya.go.ke",true,"completed","ke","national","nyerere,leadership,remembrance,holiday","Commemoration of the founding father of Tanzania","every-october-14"
"ke/nairobi/2024-county-budget-announcement","Nairobi County Budget Announcement","Presentation of Nairobi County's annual budget for fiscal year 2024-2025","governance","2024-06-15T14:00:00","2024-06-15T14:00:00","2024-06-15T17:00:00",false,true,4,"https://www.nairobi.go.ke",true,"completed","ke/nairobi","ke/nairobi","budget,finance,county,governance","Annual budget presentation to county assembly",
"ke/nairobi/2024-governor-state-address","Governor's State of the County Address","Annual address by Nairobi Governor on county development progress","governance","2024-09-01T10:00:00","2024-09-01T10:00:00","2024-09-01T12:00:00",false,true,4,"https://www.nairobi.go.ke",true,"completed","ke/nairobi","ke/nairobi","governor,address,development,governance","State of the county address with development highlights",
"ke/2022-general-election","Kenya General Election","National general election for president, governors, senators, MPs, and ward representatives","governance","2022-08-09T06:00:00","2022-08-09T06:00:00","2022-08-09T18:00:00",false,true,5,"https://www.iebc.or.ke",true,"completed","ke","national","election,voting,democracy,governance","General election day across all polling stations - postponed from August 2022","every-second-tuesday-of-august"
"ke/2024-voter-registration","Voter Registration Exercise","Continuous voter registration for eligible citizens","governance","2024-02-01T08:00:00","2024-02-01T08:00:00","2024-02-29T17:00:00",false,true,3,"https://www.iebc.or.ke",true,"completed","ke","national","voter,registration,iebc,democracy","Month-long voter registration drive nationwide",
"ke/2024-census-exercise","National Population and Housing Census","National census exercise to collect demographic data","governance","2024-08-24T06:00:00","2024-08-24T06:00:00","2024-08-31T18:00:00",false,true,4,"https://www.knbs.or.ke",true,"completed","ke","national","census,population,data,knbs","Week-long national census exercise",
"ke/2024-flood-emergency","Flood Emergency Response","Emergency response to severe flooding affecting multiple counties","emergency","2024-04-15T00:00:00","2024-04-15T00:00:00","2024-05-15T23:59:59",false,true,5,"https://www.ndma.go.ke",true,"completed","ke","national","floods,emergency,disaster,response","Emergency response coordination and relief efforts",
"ke/nairobi/2024-water-rationing","Water Rationing Program","Scheduled water rationing due to drought conditions","public_notice","2024-03-01T06:00:00","2024-03-01T06:00:00","2024-05-31T18:00:00",false,true,3,"https://www.nairobiwater.co.ke",true,"completed","ke/nairobi","ke/nairobi","water,rationing,drought,utility","Water rationing schedule for Nairobi residents",
"ke/2024-budget-reading","National Budget Reading","Annual national budget presentation by Cabinet Secretary for Treasury","economic","2024-06-13T14:00:00","2024-06-13T14:00:00","2024-06-13T17:00:00",false,true,4,"https://www.treasury.go.ke",true,"completed","ke","national","budget,economy,finance,treasury","National budget reading to parliament",
"ke/2024-cbp-launch","Central Bank Digital Currency Launch","Launch of Kenya's Central Bank Digital Currency pilot program","economic","2024-07-01T09:00:00","2024-07-01T09:00:00","2024-07-01T12:00:00",false,true,4,"https://www.centralbank.go.ke",true,"completed","ke","national","cbdc,digital-currency,central-bank,innovation","Historic launch of digital currency pilot",
"ke/2024-covid-vaccination","COVID-19 Vaccination Campaign","National COVID-19 vaccination booster campaign","health","2024-03-01T08:00:00","2024-03-01T08:00:00","2024-06-30T17:00:00",false,true,4,"https://www.health.go.ke",true,"completed","ke","national","covid,vaccination,health,campaign","Four-month vaccination booster campaign",
"ke/2024-kcse-examinations","KCSE National Examinations","Kenya Certificate of Secondary Education examinations","education","2024-10-11T08:00:00","2024-10-11T08:00:00","2024-11-22T17:00:00",false,true,3,"https://www.knec.ac.ke",true,"completed","ke","national","kcse,examinations,education,students","National secondary school examinations period",
"ke/2024-nairobi-expressway-opening","Nairobi Expressway Phase 2 Opening","Opening of second phase of Nairobi Expressway","infrastructure","2024-09-01T10:00:00","2024-09-01T10:00:00","2024-09-01T14:00:00",false,true,3,"https://www.keNHA.co.ke",true,"completed","ke/nairobi","ke/nairobi","expressway,infrastructure,transport,opening","Major infrastructure project completion ceremony",
"ke/coast/2024-tourism-festival","Coast Tourism Festival","Annual cultural and tourism festival celebrating coastal heritage","cultural","2024-08-15T09:00:00","2024-08-15T09:00:00","2024-08-25T18:00:00",false,true,3,"https://www.tourism.go.ke",true,"completed","ke/coast","ke/coast","tourism,festival,cultural,coast","Ten-day cultural festival with tourism promotion",
"ke/2024-national-marathon","Kenya National Marathon","Annual national marathon championship event","sports","2024-10-20T06:00:00","2024-10-20T06:00:00","2024-10-20T12:00:00",false,true,2,"https://www.athletics.or.ke",true,"completed","ke","national","marathon,sports,athletics,championship","National marathon championship with international participants"
