geo_unit_code,name,geo_code,geo_level_code,parent_geo_code,is_active
ke,Kenya,001,national,,true
ke/nairobi,Nairobi,001-047,county,001,true
ke/nairobi/westlands,Westlands,001-047-001,constituency,001-047,true
ke/nairobi/dagoretti-north,Dagoretti North,001-047-002,constituency,001-047,true
ke/nairobi/dagoretti-south,Dagoretti South,001-047-003,constituency,001-047,true
ke/nairobi/langata,Langata,001-047-004,constituency,001-047,true
ke/nairobi/kamukunji,Kamukunji,001-047-005,constituency,001-047,true
ke/nairobi/starehe,Starehe,001-047-006,constituency,001-047,true
ke/nairobi/makadara,Makadara,001-047-007,constituency,001-047,true
ke/nairobi/embakasi-west,Embakasi West,001-047-008,constituency,001-047,true
ke/nairobi/embakasi-east,Embakasi East,001-047-009,constituency,001-047,true
ke/nairobi/embakasi-north,Embakasi North,001-047-010,constituency,001-047,true
ke/nairobi/embakasi-south,Embakasi South,001-047-011,constituency,001-047,true
ke/nairobi/embakasi-central,Embakasi Central,001-047-012,constituency,001-047,true
ke/nairobi/kibra,Kibra,001-047-013,constituency,001-047,true
ke/nairobi/roysambu,Roysambu,001-047-014,constituency,001-047,true
ke/nairobi/kasarani,Kasarani,001-047-015,constituency,001-047,true
ke/nairobi/mathare,Mathare,001-047-016,constituency,001-047,true
ke/nairobi-westlands,Westlands Sub-county,001-047-001-sub,sub-county,001-047,true
ke/nairobi-dagoretti,Dagoretti Sub-county,001-047-002-sub,sub-county,001-047,true
ke/nairobi-langata,Langata Sub-county,001-047-003-sub,sub-county,001-047,true
ke/nairobi-kamukunji,Kamukunji Sub-county,001-047-004-sub,sub-county,001-047,true
ke/nairobi-starehe,Starehe Sub-county,001-047-005-sub,sub-county,001-047,true
ke/nairobi-makadara,Makadara Sub-county,001-047-006-sub,sub-county,001-047,true
ke/nairobi-embakasi,Embakasi Sub-county,001-047-007-sub,sub-county,001-047,true
ke/nairobi-kasarani,Kasarani Sub-county,001-047-008-sub,sub-county,001-047,true
ke/nairobi-roysambu,Roysambu Sub-county,001-047-009-sub,sub-county,001-047,true
ke/nairobi-mathare,Mathare Sub-county,001-047-010-sub,sub-county,001-047,true
ke/mombasa,Mombasa,001-001,county,001,true
ke/mombasa/mvita,Mvita,001-001-001,constituency,001-001,true
ke/mombasa/nyali,Nyali,001-001-002,constituency,001-001,true
ke/mombasa/changamwe,Changamwe,001-001-003,constituency,001-001,true
ke/mombasa/jomvu,Jomvu,001-001-004,constituency,001-001,true
ke/mombasa/kisauni,Kisauni,001-001-005,constituency,001-001,true
ke/mombasa/liwatoni,Liwatoni,001-001-006,constituency,001-001,true
ke/mombasa-tudor,Tudor Sub-county,001-001-001-sub,sub-county,001-001,true
ke/mombasa-nyali,Nyali Sub-county,001-001-002-sub,sub-county,001-001,true
ke/mombasa-changamwe,Changamwe Sub-county,001-001-003-sub,sub-county,001-001,true
ke/mombasa-jomvu,Jomvu Sub-county,001-001-004-sub,sub-county,001-001,true
ke/mombasa-kisauni,Kisauni Sub-county,001-001-005-sub,sub-county,001-001,true
ke/mombasa-liwatoni,Liwatoni Sub-county,001-001-006-sub,sub-county,001-001,true
ke/kisumu,Kisumu,001-042,county,001,true
ke/kisumu-central,Kisumu Central,001-042-001,constituency,001-042,true
ke/kisumu-east,Kisumu East,001-042-002,constituency,001-042,true
ke/kisumu-west,Kisumu West,001-042-003,constituency,001-042,true
ke/kisumu-north,Kisumu North,001-042-004,constituency,001-042,true
ke/kisumu-sudi,Kisumu Sudi,001-042-005,constituency,001-042,true
ke/kisumu-central,Kisumu Central Sub-county,001-042-001-sub,sub-county,001-042,true
ke/kisumu-east,Kisumu East Sub-county,001-042-002-sub,sub-county,001-042,true
ke/kisumu-west,Kisumu West Sub-county,001-042-003-sub,sub-county,001-042,true
ke/kisumu-north,Kisumu North Sub-county,001-042-004-sub,sub-county,001-042,true
ke/kisumu-sudi,Kisumu Sudi Sub-county,001-042-005-sub,sub-county,001-042,true
ke/kiambu,Kiambu,001-022,county,001,true
ke/kiambu/kikuyu,Kikuyu,001-022-001,constituency,001-022,true
ke/kiambu/limuru,Limuru,001-022-002,constituency,001-022,true
ke/kiambu/kiambaa,Kiambaa,001-022-003,constituency,001-022,true
ke/kiambu/kiambu-town,Kiambu Town,001-022-004,constituency,001-022,true
ke/kiambu/juja,Juja,001-022-005,constituency,001-022,true
ke/kiambu/thika-town,Thika Town,001-022-006,constituency,001-022,true
ke/kiambu/gatundu-south,Gatundu South,001-022-007,constituency,001-022,true
ke/kiambu/gatundu-north,Gatundu North,001-022-008,constituency,001-022,true
ke/kiambu/ruiru,Ruiru,001-022-009,constituency,001-022,true
ke/kiambu/githunguri,Githunguri,001-022-010,constituency,001-022,true
ke/kiambu/kikuyu,Kikuyu Sub-county,001-022-001-sub,sub-county,001-022,true
ke/kiambu-limuru,Limuru Sub-county,001-022-002-sub,sub-county,001-022,true
ke/kiambu-kiambaa,Kiambaa Sub-county,001-022-003-sub,sub-county,001-022,true
ke/kiambu-town,Kiambu Town Sub-county,001-022-004-sub,sub-county,001-022,true
ke/kiambu-juja,Juja Sub-county,001-022-005-sub,sub-county,001-022,true
ke/kiambu-thika,Thika Town Sub-county,001-022-006-sub,sub-county,001-022,true
ke/homa-bay,Homa Bay,001-043,county,001,true
ke/homa-bay/homa-bay-town,Homa Bay Town,001-043-001,constituency,001-043,true
ke/homa-bay/rangwe,Rangwe,001-043-002,constituency,001-043,true
ke/homa-bay/karachuonyo,Karachuonyo,001-043-003,constituency,001-043,true
ke/homa-bay/mbita,Mbita,001-043-004,constituency,001-043,true
ke/homa-bay/ndhiwa,Ndhiwa,001-043-005,constituency,001-043,true
ke/homa-bay/kabondo,Kabondo,001-043-006,constituency,001-043,true
ke/homa-bay/kasipul,Kasipul,001-043-007,constituency,001-043,true
ke/homa-bay/kwanyange,Kwanyange,001-043-008,constituency,001-043,true
ke/homa-bay-town,Homa Bay Town Sub-county,001-043-001-sub,sub-county,001-043,true
ke/homa-bay-rangwe,Rangwe Sub-county,001-043-002-sub,sub-county,001-043,true
ke/homa-bay-karachuonyo,Karachuonyo Sub-county,001-043-003-sub,sub-county,001-043,true
ke/homa-bay-mbita,Mbita Sub-county,001-043-004-sub,sub-county,001-043,true
ke/homa-bay-ndhiwa,Ndhiwa Sub-county,001-043-005-sub,sub-county,001-043,true
ke/homa-bay-kabondo,Kabondo Sub-county,001-043-006-sub,sub-county,001-043,true
ke/kirinyaga,Kirinyaga,001-020,county,001,true
ke/kirinyaga/gichugu,Gichugu,001-020-001,constituency,001-020,true
ke/kirinyaga/ndia,Ndia,001-020-002,constituency,001-020,true
ke/kirinyaga/mwea,Mwea,001-020-003,constituency,001-020,true
ke/kirinyaga/kerugoya,Kerugoya,001-020-004,constituency,001-020,true
ke/kirinyaga-gichugu,Gichugu Sub-county,001-020-001-sub,sub-county,001-020,true
ke/kirinyaga-ndia,Ndia Sub-county,001-020-002-sub,sub-county,001-020,true
ke/kirinyaga-mwea,Mwea Sub-county,001-020-003-sub,sub-county,001-020,true
ke/kirinyaga-kerugoya,Kerugoya Sub-county,001-020-004-sub,sub-county,001-020,true
ke/garissa,Garissa,001-007,county,001,true
ke/garissa/garissa-town,Garissa Town,001-007-001,constituency,001-007,true
ke/garissa/dadaab,Dadaab,001-007-002,constituency,001-007,true
ke/garissa/fafi,Fafi,001-007-003,constituency,001-007,true
ke/garissa/lagdera,Lagdera,001-007-004,constituency,001-007,true
ke/garissa/balambala,Balambala,001-007-005,constituency,001-007,true
ke/garissa-ijara,Ijara Sub-county,001-007-001-sub,sub-county,001-007,true
ke/garissa-dadaab,Dadaab Sub-county,001-007-002-sub,sub-county,001-007,true
ke/garissa-fafi,Fafi Sub-county,001-007-003-sub,sub-county,001-007,true
ke/garissa-lagdera,Lagdera Sub-county,001-007-004-sub,sub-county,001-007,true
ke/garissa-balambala,Balambala Sub-county,001-007-005-sub,sub-county,001-007,true
ke/nakuru,Nakuru,001-028,county,001,true
ke/nakuru-town,Nakuru Town,001-028-001,constituency,001-028,true
ke/nakuru-rongai,Rongai,001-028-002,constituency,001-028,true
ke/nakuru-naivasha,Naivasha,001-028-003,constituency,001-028,true
ke/nakuru/gilgil,Gilgil,001-028-004,constituency,001-028,true
ke/nakuru/molo,Molo,001-028-005,constituency,001-028,true
ke/nakuru/kiambogo,Kiambogo,001-028-006,constituency,001-028,true
ke/nakuru/kuresoi-north,Kuresoi North,001-028-007,constituency,001-028,true
ke/nakuru/kuresoi-south,Kuresoi South,001-028-008,constituency,001-028,true
ke/nakuru/njoro,Njoro,001-028-009,constituency,001-028,true
ke/nakuru-eldama,Eldama Ravine Sub-county,001-028-001-sub,sub-county,001-028,true
ke/nakuru-gilgil,Gilgil Sub-county,001-028-002-sub,sub-county,001-028,true
ke/nakuru-naivasha,Naivasha Sub-county,001-028-003-sub,sub-county,001-028,true
ke/nakuru-molo,Molo Sub-county,001-028-004-sub,sub-county,001-028,true
ke/nakuru-kiambogo,Kiambogo Sub-county,001-028-005-sub,sub-county,001-028,true
ke/nakuru-kuresoi,Kuresoi Sub-county,001-028-006-sub,sub-county,001-028,true
ke/nakuru-njoro,Njoro Sub-county,001-028-007-sub,sub-county,001-028,true
ke/eldoret,Eldoret,001-032,county,001,true
ke/eldoret/turbo,Turbo,001-032-001,constituency,001-032,true
ke/eldoret/ainabkoi,Ainabkoi,001-032-002,constituency,001-032,true
ke/eldoret/kapseret,Kapseret,001-032-003,constituency,001-032,true
ke/eldoret/kesses,Kesses,001-032-004,constituency,001-032,true
ke/eldoret/marakwet-west,Marakwet West,001-032-005,constituency,001-032,true
ke/eldoret/marakwet-east,Marakwet East,001-032-006,constituency,001-032,true
ke/eldoret/keiyo-south,Keiyo South,001-032-007,constituency,001-032,true
ke/eldoret/keiyo-north,Keiyo North,001-032-008,constituency,001-032,true
ke/eldoret-turbo,Turbo Sub-county,001-032-001-sub,sub-county,001-032,true
ke/eldoret-ainabkoi,Ainabkoi Sub-county,001-032-002-sub,sub-county,001-032,true
ke/eldoret-kapseret,Kapseret Sub-county,001-032-003-sub,sub-county,001-032,true
ke/eldoret-kesses,Kesses Sub-county,001-032-004-sub,sub-county,001-032,true
ke/eldoret-marakwet,Marakwet Sub-county,001-032-005-sub,sub-county,001-032,true
ke/eldoret-keiyo,Keiyo Sub-county,001-032-006-sub,sub-county,001-032,true
ke/kakamega,Kakamega,001-037,county,001,true
ke/kakamega-town,Kakamega Town,001-037-001,constituency,001-037,true
ke/kakamega/malava,Malava,001-037-002,constituency,001-037,true
ke/kakamega/lurambi,Lurambi,001-037-003,constituency,001-037,true
ke/kakamega/shinyalu,Shinyalu,001-037-004,constituency,001-037,true
ke/kakamega/ikolomani,Ikolomani,001-037-005,constituency,001-037,true
ke/kakamega/shirere,Shirere,001-037-006,constituency,001-037,true
ke/kakamega/khwisero,Khwisero,001-037-007,constituency,001-037,true
ke/kakamega/mumias-west,Mumias West,001-037-008,constituency,001-037,true
ke/kakamega/mumias-east,Mumias East,001-037-009,constituency,001-037,true
ke/kakamega/matungulu,Matungulu,001-037-010,constituency,001-037,true
ke/kakamega/butere,Butere,001-037-011,constituency,001-037,true
ke/kakamega/khwisero,Khwisero Sub-county,001-037-001-sub,sub-county,001-037,true
ke/kakamega-mumias,Mumias Sub-county,001-037-002-sub,sub-county,001-037,true
ke/kakamega-matungulu,Matungulu Sub-county,001-037-003-sub,sub-county,001-037,true
ke/kakamega-butere,Butere Sub-county,001-037-004-sub,sub-county,001-037,true
ke/kakamega-shinyalu,Shinyalu Sub-county,001-037-005-sub,sub-county,001-037,true
ke/kakamega-ikolomani,Ikolomani Sub-county,001-037-006-sub,sub-county,001-037,true
ke/kakamega-lurambi,Lurambi Sub-county,001-037-007-sub,sub-county,001-037,true
ke/kakamega-shirere,Shirere Sub-county,001-037-008-sub,sub-county,001-037,true
ke/kakamega-malava,Malava Sub-county,001-037-009-sub,sub-county,001-037,true
ke/kakamega-town,Kakamega Town Sub-county,001-037-010-sub,sub-county,001-037,true
ke/nyeri,Nyeri,001-026,county,001,true
ke/nyeri-town,Nyeri Town,001-026-001,constituency,001-026,true
ke/nyeri-mathira,Mathira,001-026-002,constituency,001-026,true
ke/nyeri-othaya,Othaya,001-026-003,constituency,001-026,true
ke/nyeri-mukurweini,Mukurweini,001-026-004,constituency,001-026,true
ke/nyeri-kieni,Kieni,001-026-005,constituency,001-026,true
ke/nyeri-nyeri,Nyeri Sub-county,001-026-001-sub,sub-county,001-026,true
ke/nyeri-mathira,Mathira Sub-county,001-026-002-sub,sub-county,001-026,true
ke/nyeri-othaya,Othaya Sub-county,001-026-003-sub,sub-county,001-026,true
ke/nyeri-mukurweini,Mukurweini Sub-county,001-026-004-sub,sub-county,001-026,true
ke/nyeri-kieni,Kieni Sub-county,001-026-005-sub,sub-county,001-026,true
ke/meru,Meru,001-008,county,001,true
ke/meru-town,Meru Town,001-008-001,constituency,001-008,true
ke/meru-ntimana,Ntimama,001-008-002,constituency,001-008,true
ke/meru-iguara,Iguara,001-008-003,constituency,001-008,true
ke/meru-tigania-east,Tigania East,001-008-004,constituency,001-008,true
ke/meru-tigania-west,Tigania West,001-008-005,constituency,001-008,true
ke/meru-ntimana,Ntimana Sub-county,001-008-001-sub,sub-county,001-008,true
ke/meru-iguara,Iguara Sub-county,001-008-002-sub,sub-county,001-008,true
ke/meru-tigania,Tigania Sub-county,001-008-003-sub,sub-county,001-008,true
ke/meru-meru,Meru Sub-county,001-008-004-sub,sub-county,001-008,true
ke/kilifi,Kilifi,001-004,county,001,true
ke/kilifi-town,Kilifi Town,001-004-001,constituency,001-004,true
ke/kilifi/rabai,Rabai,001-004-002,constituency,001-004,true
ke/kilifi/kaloleni,Kaloleni,001-004-003,constituency,001-004,true
ke/kilifi/ganze,Ganze,001-004-004,constituency,001-004,true
ke/kilifi/malindi,Malindi,001-004-005,constituency,001-004,true
ke/kilifi/magarini,Magarini,001-004-006,constituency,001-004,true
ke/kilifi-changamwe,Changamwe Sub-county,001-004-001-sub,sub-county,001-004,true
ke/kilifi-kaloleni,Kaloleni Sub-county,001-004-002-sub,sub-county,001-004,true
ke/kilifi-ganze,Ganze Sub-county,001-004-003-sub,sub-county,001-004,true
ke/kilifi-malindi,Malindi Sub-county,001-004-004-sub,sub-county,001-004,true
ke/kilifi-magarini,Magarini Sub-county,001-004-005-sub,sub-county,001-004,true
ke/kilifi-rabai,Rabai Sub-county,001-004-006-sub,sub-county,001-004,true
ke/kilifi-town,Kilifi Town Sub-county,001-004-007-sub,sub-county,001-004,true
ke/bungoma,Bungoma,001-039,county,001,true
ke/bungoma-town,Bungoma Town,001-039-001,constituency,001-039,true
ke/bungoma/kanduyi,Kanduyi,001-039-002,constituency,001-039,true
ke/bungoma/webuye-west,Webuye West,001-039-003,constituency,001-039,true
ke/bungoma/webuye-east,Webuye East,001-039-004,constituency,001-039,true
ke/bungoma/kiminini,Kiminini,001-039-005,constituency,001-039,true
ke/bungoma/tongaren,Tongaren,001-039-006,constituency,001-039,true
ke/bungoma/sirisia,Sirisia,001-039-007,constituency,001-039,true
ke/bungoma/kaptama,Kaptama,001-039-008,constituency,001-039,true
ke/bungoma/mt-elgon,Mount Elgon,001-039-009,constituency,001-039,true
ke/bungoma-town,Bungoma Town Sub-county,001-039-001-sub,sub-county,001-039,true
ke/bungoma-kanduyi,Kanduyi Sub-county,001-039-002-sub,sub-county,001-039,true
ke/bungoma-webuye,Webuye Sub-county,001-039-003-sub,sub-county,001-039,true
ke/bungoma-kiminini,Kiminini Sub-county,001-039-004-sub,sub-county,001-039,true
ke/bungoma-tongaren,Tongaren Sub-county,001-039-005-sub,sub-county,001-039,true
ke/bungoma-sirisia,Sirisia Sub-county,001-039-006-sub,sub-county,001-039,true
ke/bungoma-mt-elgon,Mount Elgon Sub-county,001-039-007-sub,sub-county,001-039,true
ke/vihiga,Vihiga,001-045,county,001,true
ke/vihiga/sabatia,Sabatia,001-045-001,constituency,001-045,true
ke/vihiga-hamisi,Hamisi,001-045-002,constituency,001-045,true
ke/vihiga/luanda,Luanda,001-045-003,constituency,001-045,true
ke/vihiga/emuhaya,Emuhaya,001-045-004,constituency,001-045,true
ke/vihiga/shirere,Shirere,001-045-005,constituency,001-045,true
ke/vihiga-sabatia,Sabatia Sub-county,001-045-001-sub,sub-county,001-045,true
ke/vihiga-hamisi,Hamisi Sub-county,001-045-002-sub,sub-county,001-045,true
ke/vihiga-luanda,Luanda Sub-county,001-045-003-sub,sub-county,001-045,true
ke/vihiga-emuhaya,Emuhaya Sub-county,001-045-004-sub,sub-county,001-045,true
ke/vihiga-shirere,Shirere Sub-county,001-045-005-sub,sub-county,001-045,true
ke/machakos,Machakos,001-016,county,001,true
ke/machakos-town,Machakos Town,001-016-001,constituency,001-016,true
ke/machakos/masinga,Masinga,001-016-002,constituency,001-016,true
ke/machakos/yatta,Yatta,001-016-003,constituency,001-016,true
ke/machakos/kangundo,Kangundo,001-016-004,constituency,001-016,true
ke/machakos/kathiani,Kathiani,001-016-005,constituency,001-016,true
ke/machakos/mwala,Mwala,001-016-006,constituency,001-016,true
ke/machakos-masinga,Masinga Sub-county,001-016-001-sub,sub-county,001-016,true
ke/machakos-yatta,Yatta Sub-county,001-016-002-sub,sub-county,001-016,true
ke/machakos-kangundo,Kangundo Sub-county,001-016-003-sub,sub-county,001-016,true
ke/machakos-kathiani,Kathiani Sub-county,001-016-004-sub,sub-county,001-016,true
ke/machakos-mwala,Mwala Sub-county,001-016-005-sub,sub-county,001-016,true
ke/machakos-town,Machakos Town Sub-county,001-016-006-sub,sub-county,001-016,true
ke/kitui,Kitui,001-015,county,001,true
ke/kitui-central,Kitui Central,001-015-001,constituency,001-015,true
