constitution_code,parent_section_code,previous_version_code,section_type,section_code,title,content,link_url,sort_order,valid_from,valid_to,transaction_at,is_active
ke/2010-constitution,, ,preamble,ke/2010-constitution/preamble,The Preamble,,https://www.klrc.go.ke/index.php/constitution-of-kenya/preamble,0,2010-08-27,,2010-08-27T00:00:00Z,true

ke/2010-constitution,, ,chapter,ke/2010-constitution/chapter-1,Sovereignty of the People and Supremacy of the Constitution,,https://www.klrc.go.ke/index.php/constitution-of-kenya/106-chapter-one-sovereignty-of-the-people-and-supremacy-of-this-constitution,1,2010-08-27,,2010-08-27T00:00:00Z,true
ke/2010-constitution,ke/2010-constitution/chapter-1, ,article,ke/2010-constitution/chapter-1/article-1,Sovereignty of the People,,https://www.klrc.go.ke/index.php/constitution-of-kenya/106-chapter-one-sovereignty-of-the-people-and-supremacy-of-this-constitution/166-1-sovereignty-of-the-people,1,2010-08-27,,2010-08-27T00:00:00Z,true
ke/2010-constitution,ke/2010-constitution/chapter-1, ,article,ke/2010-constitution/chapter-1/article-2,Supremacy of the Constitution,,https://www.klrc.go.ke/index.php/constitution-of-kenya/106-chapter-one-sovereignty-of-the-people-and-supremacy-of-this-constitution/167-2-supremacy-of-this-constitution,2,2010-08-27,,2010-08-27T00:00:00Z,true
ke/2010-constitution,ke/2010-constitution/chapter-1, ,article,ke/2010-constitution/chapter-1/article-3,Defence of the Constitution,,https://www.klrc.go.ke/index.php/constitution-of-kenya/106-chapter-one-sovereignty-of-the-people-and-supremacy-of-this-constitution/168-article-3-defence-of-this-constitution,3,2010-08-27,,2010-08-27T00:00:00Z,true

ke/2010-constitution,, ,chapter,ke/2010-constitution/chapter-2,The Republic,,https://www.klrc.go.ke/index.php/constitution-of-kenya/108-chapter-two-the-republic,2,2010-08-27,,2010-08-27T00:00:00Z,true
ke/2010-constitution,ke/2010-constitution/chapter-2, ,article,ke/2010-constitution/chapter-2/article-4,National Values and Principles of Governance,,https://www.klrc.go.ke/index.php/constitution-of-kenya/108-chapter-two-the-republic/176-4-national-values-and-principles-of-governance,4,2010-08-27,,2010-08-27T00:00:00Z,true
ke/2010-constitution,ke/2010-constitution/chapter-2, ,article,ke/2010-constitution/chapter-2/article-5,Territory of Kenya,,https://www.klrc.go.ke/index.php/constitution-of-kenya/108-chapter-two-the-republic/177-5-territory-of-kenya,5,2010-08-27,,2010-08-27T00:00:00Z,true
ke/2010-constitution,ke/2010-constitution/chapter-2, ,article,ke/2010-constitution/chapter-2/article-6,Devolution and Access to Services,,https://www.klrc.go.ke/index.php/constitution-of-kenya/108-chapter-two-the-republic/178-6-devolution-and-access-to-services,6,2010-08-27,,2010-08-27T00:00:00Z,true
ke/2010-constitution,ke/2010-constitution/chapter-2, ,article,ke/2010-constitution/chapter-2/article-7,National Official and Other Languages,,https://www.klrc.go.ke/index.php/constitution-of-kenya/108-chapter-two-the-republic/179-7-national-official-and-other-languages,7,2010-08-27,,2010-08-27T00:00:00Z,true
ke/2010-constitution,ke/2010-constitution/chapter-2, ,article,ke/2010-constitution/chapter-2/article-8,State and Religion,,https://www.klrc.go.ke/index.php/constitution-of-kenya/108-chapter-two-the-republic/180-8-state-and-religion,8,2010-08-27,,2010-08-27T00:00:00Z,true

ke/2010-constitution,, ,chapter,ke/2010-constitution/chapter-3,Citizenship,,https://www.klrc.go.ke/index.php/constitution-of-kenya/109-chapter-three-citizenship,3,2010-08-27,,2010-08-27T00:00:00Z,true
ke/2010-constitution,ke/2010-constitution/chapter-3, ,article,ke/2010-constitution/chapter-3/article-12,Entitlements of Citizens,,https://www.klrc.go.ke/index.php/constitution-of-kenya/109-chapter-three-citizenship/181-12-entitlements-of-citizens,12,2010-08-27,,2010-08-27T00:00:00Z,true
ke/2010-constitution,ke/2010-constitution/chapter-3, ,article,ke/2010-constitution/chapter-3/article-13,Citizenship by Birth,,https://www.klrc.go.ke/index.php/constitution-of-kenya/109-chapter-three-citizenship/182-13-citizenship-by-birth,13,2010-08-27,,2010-08-27T00:00:00Z,true
ke/2010-constitution,ke/2010-constitution/chapter-3, ,article,ke/2010-constitution/chapter-3/article-14,Citizenship by Registration,,https://www.klrc.go.ke/index.php/constitution-of-kenya/109-chapter-three-citizenship/183-14-citizenship-by-registration,14,2010-08-27,,2010-08-27T00:00:00Z,true
ke/2010-constitution,ke/2010-constitution/chapter-3, ,article,ke/2010-constitution/chapter-3/article-15,Dual Citizenship,,https://www.klrc.go.ke/index.php/constitution-of-kenya/109-chapter-three-citizenship/184-15-dual-citizenship,15,2010-08-27,,2010-08-27T00:00:00Z,true

ke/2010-constitution,, ,chapter,ke/2010-constitution/chapter-4,Bill of Rights,,https://www.klrc.go.ke/index.php/constitution-of-kenya/110-chapter-four-the-bill-of-rights,4,2010-08-27,,2010-08-27T00:00:00Z,true
ke/2010-constitution,, ,chapter,ke/2010-constitution/chapter-5,Land and Environment,,https://www.klrc.go.ke/index.php/constitution-of-kenya/111-chapter-five-land-and-environment,5,2010-08-27,,2010-08-27T00:00:00Z,true
ke/2010-constitution,, ,chapter,ke/2010-constitution/chapter-6,Leadership and Integrity,,https://www.klrc.go.ke/index.php/constitution-of-kenya/112-chapter-six-leadership-and-integrity,6,2010-08-27,,2010-08-27T00:00:00Z,true
ke/2010-constitution,, ,chapter,ke/2010-constitution/chapter-7,Representation of the People,,https://www.klrc.go.ke/index.php/constitution-of-kenya/113-chapter-seven-representation-of-the-people,7,2010-08-27,,2010-08-27T00:00:00Z,true
ke/2010-constitution,, ,chapter,ke/2010-constitution/chapter-8,The Legislature,,https://www.klrc.go.ke/index.php/constitution-of-kenya/114-chapter-eight-the-legislature,8,2010-08-27,,2010-08-27T00:00:00Z,true
ke/2010-constitution,, ,chapter,ke/2010-constitution/chapter-9,The Executive,,https://www.klrc.go.ke/index.php/constitution-of-kenya/115-chapter-nine-the-executive,9,2010-08-27,,2010-08-27T00:00:00Z,true
ke/2010-constitution,, ,chapter,ke/2010-constitution/chapter-10,Judiciary,,https://www.klrc.go.ke/index.php/constitution-of-kenya/116-chapter-ten-the-judiciary,10,2010-08-27,,2010-08-27T00:00:00Z,true
ke/2010-constitution,, ,chapter,ke/2010-constitution/chapter-11,Devolved Government,,https://www.klrc.go.ke/index.php/constitution-of-kenya/117-chapter-eleven-devolved-government,11,2010-08-27,,2010-08-27T00:00:00Z,true
ke/2010-constitution,, ,chapter,ke/2010-constitution/chapter-12,Public Finance,,https://www.klrc.go.ke/index.php/constitution-of-kenya/118-chapter-twelve-public-finance,12,2010-08-27,,2010-08-27T00:00:00Z,true
ke/2010-constitution,, ,chapter,ke/2010-constitution/chapter-13,Public Service,,https://www.klrc.go.ke/index.php/constitution-of-kenya/119-chapter-thirteen-public-service,13,2010-08-27,,2010-08-27T00:00:00Z,true
ke/2010-constitution,, ,chapter,ke/2010-constitution/chapter-14,National Security,,https://www.klrc.go.ke/index.php/constitution-of-kenya/120-chapter-fourteen-national-security,14,2010-08-27,,2010-08-27T00:00:00Z,true
ke/2010-constitution,, ,chapter,ke/2010-constitution/chapter-15,Commissions and Independent Offices,,https://www.klrc.go.ke/index.php/constitution-of-kenya/121-chapter-fifteen-commissions-and-independent-offices,15,2010-08-27,,2010-08-27T00:00:00Z,true
ke/2010-constitution,, ,chapter,ke/2010-constitution/chapter-16,Amendment of the Constitution,,https://www.klrc.go.ke/index.php/constitution-of-kenya/122-chapter-sixteen-amendment-of-this-constitution,16,2010-08-27,,2010-08-27T00:00:00Z,true
ke/2010-constitution,, ,chapter,ke/2010-constitution/chapter-17,General Provisions,,https://www.klrc.go.ke/index.php/constitution-of-kenya/123-chapter-seventeen-general-provisions,17,2010-08-27,,2010-08-27T00:00:00Z,true
ke/2010-constitution,, ,chapter,ke/2010-constitution/chapter-18,Transitional and Consequential Provisions,,https://www.klrc.go.ke/index.php/constitution-of-kenya/124-chapter-eighteen-transitional-and-consequential-provisions,18,2010-08-27,,2010-08-27T00:00:00Z,true

ke/2010-constitution,, ,schedule,ke/2010-constitution/schedule-1,Counties,,https://www.klrc.go.ke/index.php/constitution-of-kenya/schedules/125-first-schedule-counties,1,2010-08-27,,2010-08-27T00:00:00Z,true
ke/2010-constitution,, ,schedule,ke/2010-constitution/schedule-2,Oaths and Affirmations,,https://www.klrc.go.ke/index.php/constitution-of-kenya/schedules/126-second-schedule-oaths-and-affirmations,2,2010-08-27,,2010-08-27T00:00:00Z,true
ke/2010-constitution,, ,schedule,ke/2010-constitution/schedule-3,National Oaths and Affirmations,,https://www.klrc.go.ke/index.php/constitution-of-kenya/schedules/127-third-schedule-national-oaths-and-affirmations,3,2010-08-27,,2010-08-27T00:00:00Z,true
ke/2010-constitution,, ,schedule,ke/2010-constitution/schedule-4,Distribution of Functions,,https://www.klrc.go.ke/index.php/constitution-of-kenya/schedules/128-fourth-schedule-distribution-of-functions-between-national-and-county-governments,4,2010-08-27,,2010-08-27T00:00:00Z,true
ke/2010-constitution,, ,schedule,ke/2010-constitution/schedule-5,Legislation to be Enacted by Parliament,,https://www.klrc.go.ke/index.php/constitution-of-kenya/schedules/129-fifth-schedule-legislation-to-be-enacted-by-parliament,5,2010-08-27,,2010-08-27T00:00:00Z,true
ke/2010-constitution,, ,schedule,ke/2010-constitution/schedule-6,Transitional and Consequential Provisions,,https://www.klrc.go.ke/index.php/constitution-of-kenya/schedules/130-sixth-schedule-transitional-and-consequential-provisions,6,2010-08-27,,2010-08-27T00:00:00Z,true
