office_code,person_code,geo_unit_code,start_date,end_date,term_number,departure_reason,is_current,status,is_active
ke/executive-office-president/president,ke/eldoret/william-samoei-ruto,ke,2022-09-13,,1,,true,permanent,true
ke/executive-office-president/deputy-president,ke/nyeri/rigathi-gachagua-riggy-g,ke,2022-09-13,,1,,true,permanent,true
ke/county-government/governor,ke/nairobi/johnson-arthur-sakaja-super-senator,ke/nairobi,2022-08-25,,1,,true,permanent,true
ke/executive-office-president/president,ke/nairobi/uhuru-muigai-kenyatta-uk,ke,2017-11-28,2022-09-13,2,term-expired,false,permanent,true
ke/executive-office-president/president,ke/nairobi/uhuru-muigai-kenyatta-uk,ke,2013-04-09,2017-11-28,1,term-expired,false,permanent,true
ke/judiciary/chief-justice,ke/meru/martha-karambu-koome-cj,ke,2021-05-21,,1,,true,permanent,true
ke/cabinet/cabinet-secretary,ke/vihiga/wycliffe-musalia-mudavadi-mudavadi,ke,2022-10-27,,1,,true,permanent,true
ke/attorney-general/attorney-general,ke/embu/justin-bedan-njoka-muturi-jb-muturi,ke,2022-10-27,,1,,true,permanent,true
ke/national-assembly/national-assembly-speaker,ke/bungoma/moses-masika-wetangula-weta,ke,2022-09-08,,1,,true,permanent,true
ke/senate/senate-speaker,ke/kilifi/amason-jeffah-kingi,ke,2022-09-08,,1,,true,permanent,true
ke/county-government/governor,ke/homa-bay/gladys-atieno-nyasuna-wanga-mama-county,ke/homa-bay,2022-08-25,,1,,true,permanent,true
ke/county-government/governor,ke/mombasa/abdulswamad-shariff-nassir-asn,ke/mombasa,2022-09-15,,1,,true,permanent,true
ke/cabinet/cabinet-secretary,ke/tharaka-nithi/abraham-kithure-kindiki-kindiki,ke,2022-10-27,,1,,true,permanent,true
ke/cabinet/cabinet-secretary,ke/garissa/aden-bare-duale-duale,ke,2022-10-27,,1,,true,permanent,true
ke/cabinet/cabinet-secretary,ke/elgeyo-marakwet/onesimus-kipchumba-murkomen-murkomen,ke,2022-10-27,,1,,true,permanent,true
ke/county-government/governor,ke/kisumu/peter-anyang-nyongo-professor-nyongo,ke/kisumu,2022-08-25,,2,,true,permanent,true
ke/county-government/governor,ke/kirinyaga/anne-mumbi-waiguru-minji-minji,ke/kirinyaga,2022-08-25,,2,,true,permanent,true
ke/national-assembly/member-of-parliament,ke/kiambu/anthony-kimani-ichungwah-ichungwah,ke/kiambu/kikuyu,2022-08-09,,3,,true,permanent,true
ke/supreme-court/supreme-court-judge,ke/makueni/philomena-mbete-mwilu-justice-mwilu,ke,2016-10-28,,1,,true,permanent,true
ke/cabinet/cabinet-secretary,ke/muranga/alice-muthoni-wahome-wahome,ke,2022-10-27,,1,,true,permanent,true
ke/national-assembly/member-of-parliament,ke/kiambu/anthony-kimani-ichungwah-ichungwah,ke/kiambu/kikuyu,2022-08-09,,3,,true,permanent,true
ke/national-assembly/member-of-parliament,ke/garissa/aden-bare-duale-duale,ke/garissa/garissa-town,2022-08-09,2022-10-26,4,resignation,false,permanent,true
ke/county-government/governor,ke/homa-bay/gladys-atieno-nyasuna-wanga-mama-county,ke/homa-bay,2022-08-25,,1,,true,permanent,true
ke/county-government/governor,ke/mombasa/abdulswamad-shariff-nassir-asn,ke/mombasa,2022-09-15,,1,,true,permanent,true
ke/county-government/governor,ke/kisumu/peter-anyang-nyongo-professor-nyongo,ke/kisumu,2022-08-25,,2,,true,permanent,true
ke/county-government/governor,ke/kirinyaga/anne-mumbi-waiguru-minji-minji,ke/kirinyaga,2022-08-25,,2,,true,permanent,true
ke/national-assembly/member-of-parliament,ke/mombasa/abdulswamad-shariff-nassir-asn,ke/mombasa/mvita,2017-08-08,2022-08-09,2,term-expired,false,permanent,true
ke/national-assembly/member-of-parliament,ke/homa-bay/gladys-atieno-nyasuna-wanga-mama-county,ke/homa-bay,2017-08-08,2022-08-09,2,term-expired,false,permanent,true
