person_code,full_name,alternate_names,title_prefix,title_suffix,gender,is_pwd,search_vector,status,date_of_birth,date_of_death,place_of_birth,status_source_url,is_active,last_verified_at,created_at,updated_at
ke/eldoret/william-samoei-ruto,William Samoei Ruto,"[""W.S. Ruto"", ""William Ruto"", ""The President""]",H.E. Dr.,CGH,male,false,"william samoei ruto president kenya cgh",alive,1966-12-21,,sambu uasin gishu,https://www.president.go.ke,true,2026-03-22T00:00:00Z,2026-03-22T00:00:00Z,2026-03-22T00:00:00Z
ke/nairobi/johnson-arthur-sakaja-super-senator,Johnson Arthur Sakaja,"[""Sakaja"", ""Super Senator""]",Hon.,CBS,male,false,"johnson arthur sakaja nairobi governor cbs",alive,1985-02-02,,nairobi,https://nairobi.go.ke,true,2026-03-22T00:00:00Z,2026-03-22T00:00:00Z,2026-03-22T00:00:00Z
ke/homa-bay/gladys-atieno-nyasuna-wanga-mama-county,Gladys Atieno Nyasuna Wanga,"[""Gladys Wanga"", ""Mama County""]",Hon.,,female,false,"gladys atieno nyasuna wanga homa bay governor",alive,1981-03-07,,homa bay,https://homabay.go.ke,true,2026-03-22T00:00:00Z,2026-03-22T00:00:00Z,2026-03-22T00:00:00Z
ke/mombasa/abdulswamad-shariff-nassir-asn,Abdulswamad Shariff Nassir,"[""Abdulswamad"", ""ASN""]",Hon.,,male,false,"abdulswamad shariff nassir mombasa governor",alive,1974-12-01,,mombasa,https://mombasa.go.ke,true,2026-03-22T00:00:00Z,2026-03-22T00:00:00Z,2026-03-22T00:00:00Z
ke/meru/martha-karambu-koome-cj,Martha Karambu Koome,"[""Justice Koome"", ""CJ""]",Hon. Lady Justice,,female,false,"martha karambu koome chief justice judiciary kenya",alive,1960-01-01,,meru,https://www.judiciary.go.ke,true,2026-03-22T00:00:00Z,2026-03-22T00:00:00Z,2026-03-22T00:00:00Z
ke/nyeri/rigathi-gachagua-riggy-g,Rigathi Gachagua,"[""Riggy G"", ""Gachagua""]",H.E.,EGH,male,false,"rigathi gachagua deputy president kenya egh",alive,1965-02-28,,hiriga nieri,https://www.president.go.ke,true,2026-03-22T00:00:00Z,2026-03-22T00:00:00Z,2026-03-22T00:00:00Z
ke/bungoma/moses-masika-wetangula-weta,Moses Masika Wetangula,"[""Weta"", ""Papa wa Roma""]",Hon.,EGH,male,false,"moses masika wetangula speaker national assembly",alive,1956-09-13,,bungoma,https://www.parliament.go.ke,true,2026-03-22T00:00:00Z,2026-03-22T00:00:00Z,2026-03-22T00:00:00Z
ke/kilifi/amason-jeffah-kingi,Amason Jeffah Kingi,"[""Kingi""]",Hon.,EGH,male,false,"amason jeffah kingi speaker senate kenya egh",alive,1974-01-01,,kilifi,https://www.parliament.go.ke,true,2026-03-22T00:00:00Z,2026-03-22T00:00:00Z,2026-03-22T00:00:00Z
ke/embu/justin-bedan-njoka-muturi-jb-muturi,Justin Bedan Njoka Muturi,"[""J.B. Muturi""]",Hon.,EGH,male,false,"justin bedan njoka muturi attorney general kenya",alive,1956-10-22,,embu,https://www.ag.go.ke,true,2026-03-22T00:00:00Z,2026-03-22T00:00:00Z,2026-03-22T00:00:00Z
ke/vihiga/wycliffe-musalia-mudavadi-mudavadi,Wycliffe Musalia Mudavadi,"[""Mudavadi""]",Hon.,EGH,male,false,"wycliffe musalia mudavadi prime cabinet secretary",alive,1960-09-21,,sabatia vihiga,https://www.pcs.go.ke,true,2026-03-22T00:00:00Z,2026-03-22T00:00:00Z,2026-03-22T00:00:00Z
