party_code,geo_unit_code,name,abbreviation,founded_date,dissolved_date,status
ke/odm,ke,"Orange Democratic Movement","ODM",2005-08-30,,"active"
ke/uda,ke,"United Democratic Alliance","UDA",2020-06-25,,"active"
ke/jubilee,ke,"Jubilee Party of Kenya","Jubilee",2016-09-08,,"active"
ke/wiper,ke,"Wiper Democratic Movement Kenya","Wiper",2005-07-31,,"active"
ke/anc,ke,"Amani National Congress","ANC",2015-01-16,,"active"
ke/ford-kenya,ke,"Forum for the Restoration of Democracy Kenya","FORD-Kenya",1991-07-31,,"active"
ke/narc,ke,"National Rainbow Coalition Kenya","NARC",2005-07-25,,"active"
ke/dp,ke,"Democratic Party of Kenya","DP",1992-01-08,,"active"
ke/pnu,ke,"Party of National Unity","PNU",2007-09-16,2013-03-04,"dissolved"
ke/narc-kenya,ke,"Narc Kenya","NARC-Kenya",2005-10-13,,"active"
