ideology_code,party_code,description,valid_from,valid_to
ke/odm/social-democracy,ke/odm,"Social democratic ideology focusing on social justice and equality",2005-08-30,
ke/uda/conservatism,ke/uda,"Conservative ideology emphasizing traditional values and economic freedom",2020-06-25,
ke/jubilee/centrism,ke/jubilee,"Centrist ideology balancing progressive and conservative values",2016-09-08,
ke/wiper/progressivism,ke/wiper,"Progressive ideology focused on social reform and democratic governance",2005-07-31,
ke/anc/social-liberalism,ke/anc,"Social liberal ideology combining individual freedom with social justice",2015-01-16,
ke/ford-kenya/liberal-democracy,ke/ford-kenya,"Liberal democratic ideology emphasizing civil liberties and democracy",1991-07-31,
ke/narc/developmental-nationalism,ke/narc,"Developmental nationalism focused on national development and unity",2005-07-25,
ke/dp/christian-democracy,ke/dp,"Christian democratic ideology based on christian social principles",1992-01-08,
ke/pnu/national-unity,ke/pnu,"National unity ideology focused on bringing diverse groups together",2007-09-16,2013-03-04
ke/narc-kenya/reform-democracy,ke/narc-kenya,"Reform oriented democratic ideology",2005-10-13,
