position_code,person_code,valid_from,valid_to,is_active
ke/odm/chairperson,ke/kisumu/raila-amolo-odinga-baba,2005-08-30,,true
ke/uda/chairperson,ke/eldoret/william-samoei-ruto,2020-06-25,,true
ke/jubilee/chairperson,ke/nairobi/uhuru-muigai-kenyatta-uk,2016-09-08,2022-09-08,false
ke/wiper/chairperson,ke/makueni/kalonzo-musyoka,2005-07-31,,true
ke/anc/chairperson,ke/vihiga/wycliffe-musalia-mudavadi-mudavadi,2015-01-16,,true
ke/ford-kenya/chairperson,ke/bungoma/moses-masika-wetangula-weta,2008-12-08,,true
ke/narc/chairperson,ke/kirinyaga/anne-mumbi-waiguru-minji-minji,2022-07-22,,true
ke/uda/deputy-chairperson,ke/nyeri/rigathi-gachagua-riggy-g,2022-03-18,,true
ke/odm/secretary-general,ke/nairobi/edwin-sifuna,2018-02-24,,true
ke/uda/secretary-general,ke/kakamega/cleophas-malala,2023-03-17,,true
ke/jubilee/secretary-general,ke/kiambu/jeremiah-nyagah,2020-11-25,,true
ke/odm/treasurer,ke/homa-bay/john-mbadi,2024-06-28,,true
ke/uda/treasurer,ke/taita-taveta/sandra-kachui,2023-05-20,,true
ke/uda/organizing-secretary,ke/nandi/joshua-tonui,2022-03-18,,true
ke/uda/women-leader,ke/nakuru/emma-mbuya,2023-03-17,,true
ke/uda/youth-leader,ke/kapseret/oscar-sudi,2023-03-17,,true
ke/odm/county-chairperson,ke/nairobi/richard-ngatia,2021-05-15,,true
ke/uda/county-chairperson,ke/nairobi/johnson-arthur-sakaja-super-senator,2022-06-06,,true
