position_code,party_code,unit_code,name
ke/odm/chairperson,ke/odm,ke/odm/national-executive,"Party Chairperson"
ke/uda/chairperson,ke/uda,ke/uda/national-executive,"Party Chairperson"
ke/jubilee/chairperson,ke/jubilee,ke/jubilee/national-executive,"Party Chairperson"
ke/odm/deputy-chairperson,ke/odm,ke/odm/national-executive,"Deputy Party Chairperson"
ke/uda/deputy-chairperson,ke/uda,ke/uda/national-executive,"Deputy Party Chairperson"
ke/odm/secretary-general,ke/odm,ke/odm/national-executive,"Secretary General"
ke/uda/secretary-general,ke/uda,ke/uda/national-executive,"Secretary General"
ke/odm/treasurer,ke/odm,ke/odm/national-executive,"National Treasurer"
ke/uda/treasurer,ke/uda,ke/uda/national-executive,"National Treasurer"
ke/odm/organizing-secretary,ke/odm,ke/odm/national-executive,"Organizing Secretary"
ke/uda/organizing-secretary,ke/uda,ke/uda/national-executive,"Organizing Secretary"
ke/odm/women-leader,ke/odm,ke/odm/national-executive,"Women's League Leader"
ke/uda/women-leader,ke/uda,ke/uda/national-executive,"Women's League Leader"
ke/uda/youth-leader,ke/uda,ke/uda/national-executive,"Youth League Leader"
ke/odm/county-chairperson,ke/odm,ke/odm/county-branch-nairobi,"Nairobi County Chairperson"
ke/uda/county-chairperson,ke/uda,ke/uda/county-branch-nairobi,"Nairobi County Chairperson"
