unit_code,party_code,parent_unit_code,name,level
ke/odm/national-executive,ke/odm,,"National Executive Committee","national"
ke/uda/national-executive,ke/uda,,"National Executive Committee","national"
ke/jubilee/national-executive,ke/jubilee,,"National Executive Committee","national"
ke/wiper/national-executive,ke/wiper,,"National Executive Council","national"
ke/anc/national-executive,ke/anc,,"National Executive Committee","national"
ke/odm/county-branch-nairobi,ke/odm,ke/odm/national-executive,"Nairobi County Branch","county"
ke/odm/county-branch-mombasa,ke/odm,ke/odm/national-executive,"Mombasa County Branch","county"
ke/odm/county-branch-kisumu,ke/odm,ke/odm/national-executive,"Kisumu County Branch","county"
ke/uda/county-branch-nairobi,ke/uda,ke/uda/national-executive,"Nairobi County Branch","county"
ke/uda/county-branch-mombasa,ke/uda,ke/uda/national-executive,"Mombasa County Branch","county"
ke/uda/county-branch-kisumu,ke/uda,ke/uda/national-executive,"Kisumu County Branch","county"
ke/odm/constituency-branch-langas,ke/odm,ke/odm/county-branch-nairobi,"Langas Constituency Branch","local"
ke/uda/constituency-branch-kasarani,ke/uda,ke/uda/county-branch-nairobi,"Kasaradi Constituency Branch","local"
ke/odm/women-league-national,ke/odm,ke/odm/national-executive,"Women's League National","national"
ke/uda/youth-league-national,ke/uda,ke/uda/national-executive,"Youth League National","national"
