geo_unit_code,table_code,column_code,indicator_code,period_code,numeric_value,text_value,geo_unit_id,table_id,indicator_id,period_id,column_id
ke,ke/demographic/population/census-2019,total,demographic/population,census-2019,47643926,,ke,ke/demographic/population/census-2019,demographic/population,census-2019,total
ke,ke/demographic/population/census-2019,male,demographic/population,census-2019,23581487,,ke,ke/demographic/population/census-2019,demographic/population,census-2019,male
ke,ke/demographic/population/census-2019,female,demographic/population,census-2019,24062439,,ke,ke/demographic/population/census-2019,demographic/population,census-2019,female
ke,ke/demographic/population/census-2019,urban,demographic/population,census-2019,18703674,,ke,ke/demographic/population/census-2019,demographic/population,census-2019,urban
ke,ke/demographic/population/census-2019,rural,demographic/population,census-2019,28940252,,ke,ke/demographic/population/census-2019,demographic/population,census-2019,rural
ke,ke/demographic/population/census-2019,density-per-sq-km,demographic/density,census-2019,82,,ke,ke/demographic/population/census-2019,demographic/density,census-2019,density-per-sq-km
ke,ke/demographic/population/census-2019,total-households,demographic/households,census-2019,12370196,,ke,ke/demographic/population/census-2019,demographic/households,census-2019,total-households
ke,ke/demographic/population/census-2019,average-household-size,demographic/households,census-2019,3.9,,ke,ke/demographic/population/census-2019,demographic/households,census-2019,average-household-size
ke,ke/demographic/population/census-2019,birth-rate,demographic/fertility,census-2019,27,,ke,ke/demographic/population/census-2019,demographic/fertility,census-2019,birth-rate
ke,ke/demographic/population/census-2019,fertility-rate,demographic/fertility,census-2019,3.4,,ke,ke/demographic/population/census-2019,demographic/fertility,census-2019,fertility-rate
ke,ke/demographic/population/census-2019,death-rate,demographic/mortality,census-2019,5,,ke,ke/demographic/population/census-2019,demographic/mortality,census-2019,death-rate
ke,ke/demographic/population/census-2019,infant-mortality-rate,demographic/mortality,census-2019,32,,ke,ke/demographic/population/census-2019,demographic/mortality,census-2019,infant-mortality-rate
ke,ke/demographic/population/census-2019,maternal-mortality-rate,demographic/mortality,census-2019,342,,ke,ke/demographic/population/census-2019,demographic/mortality,census-2019,maternal-mortality-rate
ke,ke/demographic/population/census-2019,age-0-14,demographic/age,census-2019,17183546,,ke,ke/demographic/population/census-2019,demographic/age,census-2019,age-0-14
ke,ke/demographic/population/census-2019,age-15-24,demographic/age,census-2019,9668964,,ke,ke/demographic/population/census-2019,demographic/age,census-2019,age-15-24
ke,ke/demographic/population/census-2019,age-25-54,demographic/age,census-2019,16054678,,ke,ke/demographic/population/census-2019,demographic/age,census-2019,age-25-54
ke,ke/demographic/population/census-2019,age-55-64,demographic/age,census-2019,2678489,,ke,ke/demographic/population/census-2019,demographic/age,census-2019,age-55-64
ke,ke/demographic/population/census-2019,age-65-plus,demographic/age,census-2019,2058249,,ke,ke/demographic/population/census-2019,demographic/age,census-2019,age-65-plus
ke,ke/demographic/population/census-2019,christianity,religion/affiliation,census-2019,33892612,,ke,ke/demographic/population/census-2019,religion/affiliation,census-2019,christianity
ke,ke/demographic/population/census-2019,islam,religion/affiliation,census-2019,5152938,,ke,ke/demographic/population/census-2019,religion/affiliation,census-2019,islam
ke,ke/demographic/population/census-2019,hinduism,religion/affiliation,census-2019,53168,,ke,ke/demographic/population/census-2019,religion/affiliation,census-2019,hinduism
ke,ke/demographic/population/census-2019,traditional-beliefs,religion/affiliation,census-2019,819755,,ke,ke/demographic/population/census-2019,religion/affiliation,census-2019,traditional-beliefs
ke,ke/demographic/population/census-2019,other-religions,religion/affiliation,census-2019,557829,,ke,ke/demographic/population/census-2019,religion/affiliation,census-2019,other-religions
ke,ke/demographic/population/census-2019,no-religion,religion/affiliation,census-2019,665624,,ke,ke/demographic/population/census-2019,religion/affiliation,census-2019,no-religion
ke,ke/economic/gdp/national-accounts-2023,gdp-total,economic/gdp,year/2023,15674000000000,,ke,ke/economic/gdp/national-accounts-2023,economic/gdp,year/2023,gdp-total
ke,ke/economic/gdp/national-accounts-2023,gdp-per-capita,economic/gdp,year/2023,302543,,ke,ke/economic/gdp/national-accounts-2023,economic/gdp,year/2023,gdp-per-capita
ke,ke/economic/gdp/national-accounts-2023,gdp-growth-rate,economic/gdp,year/2023,5.3,,ke,ke/economic/gdp/national-accounts-2023,economic/gdp,year/2023,gdp-growth-rate
ke,ke/economic/gdp/national-accounts-2023,agricultural-gdp,economic/gdp,year/2023,3548760000000,,ke,ke/economic/gdp/national-accounts-2023,economic/gdp,year/2023,agricultural-gdp
ke,ke/economic/gdp/national-accounts-2023,industrial-gdp,economic/gdp,year/2023,4874280000000,,ke,ke/economic/gdp/national-accounts-2023,economic/gdp,year/2023,industrial-gdp
ke,ke/economic/gdp/national-accounts-2023,services-gdp,economic/gdp,year/2023,7250960000000,,ke,ke/economic/gdp/national-accounts-2023,economic/gdp,year/2023,services-gdp
ke,ke/economic/gdp/national-accounts-2023,inflation-rate,economic/inflation,year/2023,6.8,,ke,ke/economic/gdp/national-accounts-2023,economic/inflation,year/2023,inflation-rate
ke,ke/economic/gdp/national-accounts-2023,consumer-price-index,economic/inflation,year/2023,138.5,,ke,ke/economic/gdp/national-accounts-2023,economic/inflation,year/2023,consumer-price-index
ke,ke/economic/gdp/national-accounts-2023,employed,economic/employment,year/2023,20567000,,ke,ke/economic/gdp/national-accounts-2023,economic/employment,year/2023,employed
ke,ke/economic/gdp/national-accounts-2023,unemployed,economic/employment,year/2023,2743000,,ke,ke/economic/gdp/national-accounts-2023,economic/employment,year/2023,unemployed
ke,ke/economic/gdp/national-accounts-2023,unemployment-rate,economic/employment,year/2023,11.8,,ke,ke/economic/gdp/national-accounts-2023,economic/employment,year/2023,unemployment-rate
ke,ke/economic/gdp/national-accounts-2023,labor-force,economic/employment,year/2023,23310000,,ke,ke/economic/gdp/national-accounts-2023,economic/employment,year/2023,labor-force
ke,ke/economic/gdp/national-accounts-2023,labor-participation-rate,economic/employment,year/2023,75.2,,ke,ke/economic/gdp/national-accounts-2023,economic/employment,year/2023,labor-participation-rate
ke,ke/education/enrollment/school-census-2022,pre-primary-enrollment,education/enrollment,year/2022,2873456,,ke,ke/education/enrollment/school-census-2022,education/enrollment,year/2022,pre-primary-enrollment
