indicator_category_code,name,description
demographic,"Demographic Statistics","Population and demographic indicators including age, gender, migration patterns"
religion,"Religion Statistics","Religious affiliation and practice indicators"
economic,"Economic Statistics","Economic activity and financial indicators including GDP, inflation, employment"
climate,"Climate Statistics","Weather and climate-related indicators including temperature, rainfall, extreme events"
education,"Education Statistics","Educational attainment and access indicators including enrollment, literacy, schools"
health,"Health Statistics","Health outcomes and healthcare access indicators including mortality, morbidity, facilities"
infrastructure,"Infrastructure Statistics","Infrastructure indicators including roads, electricity, water, communications"
agriculture,"Agriculture Statistics","Agricultural indicators including crop production, livestock, yields, food security"
environment,"Environment Statistics","Environmental indicators including pollution, natural resources, conservation"
governance,"Governance Statistics","Governance indicators including elections, public services, institutions"
social,"Social Statistics","Social indicators including poverty, inequality, housing, social protection"
security,"Security Statistics","Security indicators including crime rates, law enforcement, public safety"
labor,"Labor Statistics","Labor market indicators including employment, unemployment, wages, working conditions"
trade,"Trade Statistics","Trade indicators including imports, exports, balance of trade, trade partners"
energy,"Energy Statistics","Energy indicators including production, consumption, sources, energy access"
transport,"Transport Statistics","Transportation indicators including infrastructure, usage, accidents, mobility"
finance,"Finance Statistics","Financial indicators including banking, credit, investment, monetary indicators"
technology,"Technology Statistics","Technology indicators including internet access, mobile penetration, digital services"
