table_code,geo_level_code,geo_unit_code,institution_code,office_code,source,methodology,collector,notes,is_verified,confidence
ke/demographic/population/census-2019,national,ke,ke/independent-electoral-and-boundaries-commission,ke/independent-electoral-and-boundaries-commission/chairperson,"Kenya Population and Housing Census 2019","National census with complete enumeration","Kenya National Bureau of Statistics","2019 Kenya Population and Housing Census - 6th Census since independence",true,high
ke/demographic/population/census-2009,national,ke,ke/independent-electoral-and-boundaries-commission,ke/independent-electoral-and-boundaries-commission/chairperson,"Kenya Population and Housing Census 2009","National census with complete enumeration","Kenya National Bureau of Statistics","2009 Kenya Population and Housing Census - 5th Census since independence",true,high
ke/economic/gdp/national-accounts-2023,national,ke,ke/ministry-finance,ke/ministry-finance/cabinet-secretary,"Kenya National Accounts 2023","System of National Accounts methodology","Kenya National Bureau of Statistics","Annual GDP estimates using SNA 2008 methodology",true,high
ke/education/enrollment/school-census-2022,national,ke,ke/ministry-education,ke/ministry-education/cabinet-secretary,"School Census 2022","Annual school enrollment survey","Ministry of Education","Primary and secondary school enrollment data from all public and private schools",true,high
ke/health/facilities/health-facility-survey-2022,national,ke,ke/ministry-health,ke/ministry-health/cabinet-secretary,"Health Facility Survey 2022","Comprehensive health facility assessment","Ministry of Health","Data from all public and private health facilities nationwide",true,medium
ke/infrastructure/roads/road-inventory-2023,national,ke,ke/ministry-transport,ke/ministry-transport/cabinet-secretary,"Road Inventory 2023","Physical road network assessment","Kenya National Highways Authority","Classification and condition of all roads in Kenya",true,medium
ke/climate/weather/meteorological-data-2023,national,ke,ke/ministry-environment,ke/ministry-environment/cabinet-secretary,"Meteorological Data 2023","Weather station monitoring","Kenya Meteorological Department","Temperature and rainfall data from weather stations nationwide",true,high
ke/governance/elections/election-results-2022,national,ke,ke/independent-electoral-and-boundaries-commission,ke/independent-electoral-and-boundaries-commission/chairperson,"General Election Results 2022","Election results compilation","IEBC","2022 General Election voter turnout and results",true,high
ke/security/crime/crime-statistics-2023,national,ke,ke/national-police-service,ke/national-police-service/inspector-general,"Annual Crime Statistics 2023","Police crime reporting system","National Police Service","Reported crime cases by category and region",true,medium
ke/labor/employment/labor-force-survey-2023,national,ke,ke/ministry-labour,ke/ministry-labour/cabinet-secretary,"Labor Force Survey 2023","Household labor market survey","Kenya National Bureau of Statistics","Quarterly labor force survey with employment indicators",true,medium
ke/nairobi/demographic/population/census-2019,county,ke/nairobi,ke/independent-electoral-and-boundaries-commission,ke/independent-electoral-and-boundaries-commission/chairperson,"Nairobi County Population Census 2019","County-level census enumeration","Kenya National Bureau of Statistics","Nairobi County population by constituency and ward",true,high
ke/nairobi/economic/gdp/county-estimates-2023,county,ke/nairobi,ke/ministry-finance,ke/ministry-finance/cabinet-secretary,"Nairobi County GDP Estimates 2023","County economic output estimation","Kenya National Bureau of Statistics","Nairobi County contribution to national GDP",true,medium
ke/nairobi/education/enrollment/school-census-2022,county,ke/nairobi,ke/ministry-education,ke/ministry-education/cabinet-secretary,"Nairobi School Census 2022","County school enrollment data","Nairobi County Education Office","School enrollment data for Nairobi County schools",true,high
ke/nairobi/health/facilities/health-facility-survey-2022,county,ke/nairobi,ke/ministry-health,ke/ministry-health/cabinet-secretary,"Nairobi Health Facilities Survey 2022","County health facility assessment","Nairobi County Health Office","Health facilities data for Nairobi County",true,medium
ke/mombasa/demographic/population/census-2019,county,ke/mombasa,ke/independent-electoral-and-boundaries-commission,ke/independent-electoral-and-boundaries-commission/chairperson,"Mombasa County Population Census 2019","County-level census enumeration","Kenya National Bureau of Statistics","Mombasa County population by constituency and ward",true,high
ke/mombasa/economic/tourism/revenue-2023,county,ke/mombasa,ke/ministry-tourism,ke/ministry-tourism/cabinet-secretary,"Mombasa Tourism Revenue 2023","Tourism sector revenue tracking","Mombasa County Tourism Office","Hotel occupancy and tourism revenue data",true,medium
ke/kisumu/demographic/population/census-2019,county,ke/kisumu,ke/independent-electoral-and-boundaries-commission,ke/independent-electoral-and-boundaries-commission/chairperson,"Kisumu County Population Census 2019","County-level census enumeration","Kenya National Bureau of Statistics","Kisumu County population by constituency and ward",true,high
ke/kisumu/health/mortality/malaria-surveillance-2023,county,ke/kisumu,ke/ministry-health,ke/ministry-health/cabinet-secretary,"Kisumu Malaria Surveillance 2023","Disease surveillance system","Kisumu County Health Office","Malaria cases and deaths from health facilities",true,medium
ke/nairobi/westlands/demographic/population/census-2019,constituency,ke/nairobi/westlands,ke/independent-electoral-and-boundaries-commission,ke/independent-electoral-and-boundaries-commission/chairperson,"Westlands Constituency Population Census 2019","Constituency-level census enumeration","Kenya National Bureau of Statistics","Westlands Constituency population by ward",true,high
ke/nairobi/kibra/demographic/population/census-2019,constituency,ke/nairobi/kibra,ke/independent-electoral-and-boundaries-commission,ke/independent-electoral-and-boundaries-commission/chairperson,"Kibra Constituency Population Census 2019","Constituency-level census enumeration","Kenya National Bureau of Statistics","Kibra Constituency population by ward",true,high
ke/nairobi/embakasi/economic/informal-sector-survey-2023,constituency,ke/nairobi/embakasi-east,ke/ministry-labour,ke/ministry-labour/cabinet-secretary,"Embakasi Informal Sector Survey 2023","Informal sector business survey","Nairobi County Trade Office","Informal businesses and employment in Embakasi",true,low
ke/infrastructure/electricity/access-survey-2023,national,ke,ke/ministry-energy,ke/ministry-energy/cabinet-secretary,"Electricity Access Survey 2023","Household electricity connectivity survey","Kenya Power and Lighting Company","National electricity access rates by county",true,high
ke/infrastructure/water/access-survey-2023,national,ke,ke/ministry-water,ke/ministry-water/cabinet-secretary,"Water Access Survey 2023","Household water access assessment","Ministry of Water and Sanitation","Clean water access rates by county",true,medium
ke/agriculture/crop-production/annual-survey-2023,national,ke,ke/ministry-agriculture,ke/ministry-agriculture/cabinet-secretary,"Crop Production Survey 2023","Agricultural production assessment","Ministry of Agriculture","Major crop yields and production by county",true,medium
ke/environment/forest-cover/assessment-2023,national,ke,ke/ministry-environment,ke/ministry-environment/cabinet-secretary,"Forest Cover Assessment 2023","Satellite and ground forest assessment","Kenya Forest Service","National forest cover change statistics",true,high
ke/finance/banking/sector-report-2023,national,ke,ke/central-bank,ke/central-bank/governor,"Banking Sector Report 2023","Commercial banking performance data","Central Bank of Kenya","Bank deposits, loans, and financial inclusion metrics",true,high
ke/technology/mobile-penetration/survey-2023,national,ke,ke/ministry-ict,ke/ministry-ict/cabinet-secretary,"Mobile Penetration Survey 2023","Mobile phone ownership and usage survey","Communications Authority of Kenya","Mobile phone subscriptions and internet access rates",true,high
